Año:,Clase de accidente:,Tipo de accidente:,Provincia:,Cantón:,Distrito:,Ruta:,X_WGS84,Y_WGS84
2014,Solo heridos leves,Colisión entre vehículos,Heredia,Heredia,Heredia,Cantonal,-84.11589,10.00052
2014,Solo heridos leves,Colisión con motocicleta,Heredia,Barva,San Pedro,Cantonal,-84.14472,10.02251
2014,Solo heridos leves,Colisión con motocicleta,Heredia,San Rafael,San Josecito,113,-84.10577,10.01322
2014,Solo heridos leves,Colisión entre vehículos,Heredia,Heredia,Heredia,Cantonal,-84.12182,9.99599
2014,Solo heridos leves,Colisión entre vehículos,Heredia,Heredia,Heredia,Cantonal,-84.11667,9.99931
2014,Solo heridos leves,Colisión entre vehículos,Heredia,Heredia,Heredia,Cantonal,-84.12182,9.99678
2014,Solo heridos leves,Colisión con motocicleta,Heredia,San Rafael,Santiago,113,-84.10745,10.00944
2014,Solo heridos leves,Colisión con motocicleta,Heredia,Santo Domingo,Tures,Cantonal,-84.06362,9.98532
2014,Solo heridos leves,Colisión con motocicleta,Heredia,Santo Domingo,Santa Rosa,Cantonal,-84.09436,9.97799
2014,Solo heridos leves,Colisión con objeto fijo,Heredia,Santo Domingo,Santa Rosa,5,-84.08955,9.97340
2014,Solo heridos leves,Colisión con motocicleta,Heredia,Heredia,Ulloa,106,-84.14191,9.97577
2014,Solo heridos leves,Colisión con bicicleta,Heredia,Flores,San Joaquín,Cantonal,-84.14918,10.00748
2014,Solo heridos leves,Colisión con motocicleta,Heredia,Santo Domingo,Santo Domingo,Cantonal,-84.08769,9.98223
2014,Solo heridos leves,Colisión entre vehículos,Heredia,Heredia,Heredia,Cantonal,-84.11680,10.00305
2014,Solo heridos leves,Colisión con objeto fijo,Heredia,Belén,San Antonio,111,-84.18982,9.98238
2014,Solo heridos leves,Colisión con objeto fijo,Heredia,Belén,San Antonio,111,-84.18775,9.98238
2014,Solo heridos leves,Atropello a persona,Heredia,Heredia,Ulloa,Cantonal,-84.14176,9.97961
2014,Solo heridos leves,Colisión con motocicleta,Heredia,San Rafael,San Josecito,126,-84.11906,10.01064
2014,Solo heridos leves,Colisión entre vehículos,Heredia,Santo Domingo,San Vicente,Cantonal,-84.08754,9.98416
2014,Solo heridos leves,Colisión con motocicleta,Heredia,San Isidro,San José,112,-84.04880,10.01781
2014,Solo heridos leves,Colisión con motocicleta,Heredia,Heredia,Heredia,Cantonal,-84.11884,9.99897
2014,Con muertos o graves,Colisión con motocicleta,Heredia,Santa Bárbara,Purabá,Cantonal,-84.14975,10.07397
2014,Solo heridos leves,Colisión con motocicleta,Heredia,Flores,Llorente,Cantonal,-84.16887,9.99878
2014,Solo heridos leves,Colisión entre vehículos,Heredia,Heredia,Heredia,Cantonal,-84.12175,9.99320
2014,Solo heridos leves,Colisión entre vehículos,Heredia,San Rafael,Ángeles,502,-84.10670,10.02319
2014,Solo heridos leves,Colisión entre vehículos,Heredia,Santo Domingo,Santo Domingo,Cantonal,-84.09037,9.98307
2014,Solo heridos leves,Atropello a persona,Heredia,Belén,La Ribera,1,-84.16775,9.99578
2014,Solo heridos leves,Colisión entre vehículos,Heredia,Heredia,Heredia,Cantonal,-84.11932,9.99821
2014,Solo heridos leves,Colisión con motocicleta,Heredia,San Pablo,San Pablo,5,-84.09775,9.98793
2014,Solo heridos leves,Colisión entre vehículos,Heredia,Heredia,Heredia,113,-84.11250,9.99969
2014,Solo heridos leves,Colisión con motocicleta,Heredia,Heredia,Ulloa,171,-84.13640,9.98168
2014,Solo heridos leves,Colisión entre vehículos,Heredia,Heredia,Mercedes,126,-84.11768,10.00671
2014,Solo heridos leves,Colisión entre vehículos,Heredia,Heredia,Heredia,Cantonal,-84.11318,9.99520
2014,Con muertos o graves,Colisión con motocicleta,Heredia,Heredia,Heredia,Cantonal,-84.11600,10.00039
2014,Solo heridos leves,Colisión con motocicleta,Heredia,Heredia,Ulloa,106,-84.11516,9.96572
2014,Con muertos o graves,Colisión con motocicleta,Heredia,Heredia,Heredia,3,-84.12184,9.99757
2014,Con muertos o graves,Colisión con motocicleta,Heredia,Santo Domingo,Santo Domingo,Cantonal,-84.09265,9.97696
2014,Solo heridos leves,Atropello a persona,Heredia,Heredia,Heredia,Cantonal,-84.12201,9.99915
2014,Solo heridos leves,Colisión con motocicleta,Heredia,Santo Domingo,Santo Domingo,5,-84.08984,9.97674
2014,Solo heridos leves,Colisión con motocicleta,Heredia,Heredia,San Francisco,Cantonal,-84.12654,9.99464
2014,Solo heridos leves,Colisión entre vehículos,Heredia,Heredia,Heredia,Cantonal,-84.11429,10.00373
2014,Solo heridos leves,Vuelco,Heredia,Heredia,San Francisco,111,-84.13740,9.99142
2014,Solo heridos leves,Colisión con motocicleta,Heredia,Heredia,Heredia,3,-84.11190,9.99358
2014,Solo heridos leves,Colisión entre vehículos,Heredia,Heredia,Heredia,Cantonal,-84.11677,10.00315
2014,Solo heridos leves,Colisión con motocicleta,Heredia,San Isidro,San José,Cantonal,-84.04723,10.01699
2014,Solo heridos leves,Colisión con bicicleta,Heredia,San Rafael,San Rafael,502,-84.10538,10.01493
2014,Solo heridos leves,Colisión con motocicleta,Heredia,Heredia,Heredia,3,-84.11427,9.99694
2014,Solo heridos leves,Colisión entre vehículos,Heredia,Heredia,Heredia,Cantonal,-84.11411,9.99972
2014,Solo heridos leves,Colisión entre vehículos,Heredia,Heredia,Heredia,Cantonal,-84.12010,9.99582
2014,Solo heridos leves,Colisión con motocicleta,Heredia,Barva,Santa Lucía,126,-84.12109,10.01389
2014,Solo heridos leves,Colisión con motocicleta,Heredia,San Pablo,San Pablo,5,-84.10211,9.99197
2014,Solo heridos leves,Colisión entre vehículos,Heredia,San Pablo,Rincón de Sabanilla,5,-84.09568,9.98521
2014,Solo heridos leves,Atropello a persona,Heredia,Santo Domingo,Tures,116,-84.05390,9.99332
2014,Solo heridos leves,Colisión con motocicleta,Heredia,Heredia,San Francisco,3,-84.11128,9.98969
2014,Solo heridos leves,Colisión entre vehículos,Heredia,Heredia,Ulloa,Cantonal,-84.14186,9.97899
2014,Solo heridos leves,Colisión con motocicleta,Heredia,Heredia,Ulloa,106,-84.11416,9.96525
2014,Solo heridos leves,Colisión con motocicleta,Heredia,Heredia,Heredia,126,-84.11719,9.99889
2014,Solo heridos leves,Colisión entre vehículos,Heredia,Barva,San Pablo,Cantonal,-84.13069,10.02411
2014,Solo heridos leves,Atropello a persona,Limón,Pococí,La Colonia,247,-83.77934,10.23409
2014,Solo heridos leves,Colisión con bicicleta,Limón,Guácimo,Guácimo,248,-83.68175,10.20937
2014,Solo heridos leves,Vuelco,Limón,Pococí,La Colonia,247,-83.77923,10.23310
2014,Solo heridos leves,Salió de la vía,Limón,Pococí,Roxana,248,-83.71552,10.28884
2014,Solo heridos leves,Colisión entre vehículos,Cartago,El Guarco,San Isidro,2,-83.97468,9.79307
2014,Solo heridos leves,Salió de la vía,San José,Dota,Copey,2,-83.78837,9.60329
2014,Solo heridos leves,Colisión entre vehículos,Cartago,El Guarco,San Isidro,2,-83.84452,9.64160
2014,Solo heridos leves,Vuelco,Cartago,El Guarco,San Isidro,2,-83.83991,9.63353
2014,Solo heridos leves,Colisión con motocicleta,Cartago,Cartago,Guadalupe o Arenilla,Cantonal,-83.93251,9.85929
2014,Solo heridos leves,Colisión entre vehículos,Cartago,El Guarco,San Isidro,2,-83.95164,9.83149
2014,Solo heridos leves,Colisión con bicicleta,San José,San José,San Sebastián,39,-84.07879,9.91233
2014,Solo heridos leves,Colisión entre vehículos,Heredia,Heredia,Ulloa,3,-84.10964,9.96139
2014,Solo heridos leves,Colisión con motocicleta,San José,Tibás,San Juan,Cantonal,-84.08203,9.96256
2014,Solo heridos leves,Vuelco,San José,Moravia,San Vicente,Cantonal,-84.04522,9.96089
2014,Solo heridos leves,Colisión con motocicleta,San José,Goicoechea,Guadalupe,Cantonal,-84.05537,9.94467
2014,Solo heridos leves,Colisión entre vehículos,San José,Goicoechea,Ipís,218,-84.01038,9.96481
2014,Solo heridos leves,Colisión con motocicleta,San José,Tibás,San Juan,Cantonal,-84.07795,9.96157
2014,Solo heridos leves,Colisión con motocicleta,San José,Tibás,Anselmo Llorente,101,-84.07225,9.95477
2014,Solo heridos leves,Colisión entre vehículos,San José,Moravia,San Vicente,102,-84.06101,9.96275
2014,Solo heridos leves,Colisión con motocicleta,San José,Tibás,Colima,101,-84.08679,9.95407
2014,Solo heridos leves,Colisión entre vehículos,San José,Goicoechea,Ipís,218,-84.02780,9.96583
2014,Solo heridos leves,Colisión con motocicleta,San José,Goicoechea,Ipís,218,-84.03374,9.96370
2014,Solo heridos leves,Colisión con motocicleta,San José,Goicoechea,Guadalupe,201,-84.05167,9.94577
2014,Solo heridos leves,Colisión con motocicleta,San José,Vázquez de Coronado,San Isidro,102,-84.01149,9.97613
2014,Solo heridos leves,Colisión entre vehículos,San José,Moravia,San Vicente,102,-84.04166,9.96353
2014,Solo heridos leves,Colisión con motocicleta,San José,Goicoechea,Guadalupe,218,-84.05365,9.94662
2014,Solo heridos leves,Colisión entre vehículos,San José,Goicoechea,Guadalupe,218,-84.06172,9.94275
2014,Solo heridos leves,Colisión con motocicleta,San José,Moravia,San Vicente,Cantonal,-84.04152,9.95911
2014,Solo heridos leves,Atropello a persona,San José,Goicoechea,Guadalupe,218,-84.05895,9.94377
2014,Solo heridos leves,Colisión con motocicleta,San José,Moravia,San Vicente,109,-84.05508,9.95474
2014,Solo heridos leves,Colisión con motocicleta,San José,Goicoechea,Ipís,Cantonal,-84.03185,9.96172
2014,Solo heridos leves,Colisión con motocicleta,San José,Goicoechea,Mata de Plátano,205,-84.01593,9.95350
2014,Solo heridos leves,Colisión con motocicleta,San José,Goicoechea,Guadalupe,218,-84.06055,9.94301
2014,Solo heridos leves,Atropello a persona,San José,Tibás,San Juan,5,-84.07857,9.95368
2014,Solo heridos leves,Colisión entre vehículos,Heredia,Heredia,Heredia,Cantonal,-84.11927,10.00233
2014,Solo heridos leves,Colisión con motocicleta,Heredia,Heredia,Ulloa,Cantonal,-84.14238,9.98695
2014,Con muertos o graves,Colisión con motocicleta,Heredia,Heredia,Mercedes,Cantonal,-84.13323,9.99894
2014,Solo heridos leves,Colisión entre vehículos,Heredia,Heredia,San Francisco,3,-84.13363,9.99631
2014,Solo heridos leves,Colisión con motocicleta,Heredia,Barva,San Roque,128,-84.13125,10.01994
2014,Solo heridos leves,Colisión con motocicleta,Heredia,Heredia,Heredia,Cantonal,-84.11680,10.00264
2014,Solo heridos leves,Colisión con motocicleta,Heredia,Heredia,Ulloa,111,-84.15104,9.98819
2014,Solo heridos leves,Colisión con motocicleta,Heredia,Heredia,Ulloa,171,-84.13770,9.98124
2014,Solo heridos leves,Colisión con motocicleta,Heredia,Heredia,San Francisco,111,-84.13029,9.99360
2014,Solo heridos leves,Colisión entre vehículos,Heredia,Heredia,Mercedes,Cantonal,-84.13187,9.99768
2014,Solo heridos leves,Colisión con motocicleta,Heredia,Heredia,Heredia,171,-84.12374,9.99692
2014,Con muertos o graves,Atropello a persona,Heredia,Barva,San Pablo,502,-84.11457,10.03836
2014,Con muertos o graves,Atropello a persona,Heredia,Heredia,Heredia,Cantonal,-84.12014,9.99415
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Alajuela,Río Segundo,1,-84.19632,10.00029
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Alajuela,Río Segundo,1,-84.19548,10.00049
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Alajuela,Río Segundo,Cantonal,-84.20445,9.99893
2014,Con muertos o graves,Atropello a persona,Alajuela,Alajuela,Río Segundo,1,-84.20156,9.99989
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Alajuela,Alajuela,Cantonal,-84.21565,10.01090
2014,Solo heridos leves,Colisión entre vehículos,Alajuela,Naranjo,San Juan,141,-84.39564,10.11277
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Naranjo,El Rosario,715,-84.36471,10.06005
2014,Solo heridos leves,Colisión entre vehículos,Alajuela,Naranjo,Naranjo,Cantonal,-84.38772,10.10615
2014,Solo heridos leves,Colisión con bicicleta,Alajuela,Naranjo,Naranjo,715,-84.36103,10.07232
2014,Solo heridos leves,Salió de la vía,Alajuela,Alajuela,Tambor,118,-84.25062,10.02503
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Alajuela,San Isidro,130,-84.21678,10.02530
2014,Solo heridos leves,Otros,Alajuela,Alajuela,Alajuela,124,-84.21800,10.01437
2014,Solo heridos leves,Atropello a persona,Alajuela,Alajuela,Garita,3,-84.31621,9.99344
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Alajuela,Alajuela,Cantonal,-84.22470,10.01061
2014,Solo heridos leves,Otros,Alajuela,Alajuela,San José,Cantonal,-84.26500,9.99770
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Alajuela,Garita,3,-84.31587,9.99366
2014,Solo heridos leves,Salió de la vía,Alajuela,Naranjo,San Miguel,1,-84.40336,10.07339
2014,Solo heridos leves,Vuelco,Alajuela,Alajuela,Garita,1,-84.31019,10.00239
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Grecia,Puente de Piedra,1,-84.34464,10.01553
2014,Solo heridos leves,Colisión con objeto fijo,Alajuela,Naranjo,Palmitos,726,-84.43246,10.10602
2014,Con muertos o graves,Colisión entre vehículos,Alajuela,Naranjo,Naranjo,141,-84.38770,10.10727
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Naranjo,Cirrí Sur,Cantonal,-84.37004,10.10072
2014,Solo heridos leves,Vuelco,Alajuela,Naranjo,San Jerónimo,Cantonal,-84.36228,10.10981
2014,Solo heridos leves,Colisión entre vehículos,Alajuela,Naranjo,San Juan,141,-84.38913,10.10831
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Zarcero,Zarcero,Cantonal,-84.39287,10.18428
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Naranjo,San José,141,-84.39527,10.13687
2014,Con muertos o graves,Salió de la vía,Alajuela,Zarcero,Zarcero,Cantonal,-84.38900,10.18077
2014,Solo heridos leves,Vuelco,Alajuela,Naranjo,Naranjo,Cantonal,-84.37364,10.10043
2014,Solo heridos leves,Salió de la vía,Alajuela,Naranjo,Palmitos,148,-84.41806,10.09137
2014,Solo heridos leves,Colisión entre vehículos,Alajuela,San Carlos,Quesada,Cantonal,-84.42984,10.31745
2014,Solo heridos leves,Colisión entre vehículos,Alajuela,San Ramón,Peñas Blancas,702,-84.59969,10.40800
2014,Solo heridos leves,Colisión con bicicleta,Alajuela,Alajuela,Alajuela,125,-84.20578,10.02728
2014,Solo heridos leves,Vuelco,Alajuela,Alajuela,Alajuela,153,-84.21196,10.00730
2014,Solo heridos leves,Atropello a persona,Alajuela,Alajuela,Alajuela,Cantonal,-84.21111,10.01862
2014,Con muertos o graves,Colisión entre vehículos,Alajuela,Alajuela,San Antonio,Cantonal,-84.22904,10.00667
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Grecia,Puente de Piedra,1,-84.35404,10.01646
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Alajuela,San Antonio,Cantonal,-84.24234,9.99903
2014,Solo heridos leves,Atropello a persona,Alajuela,Alajuela,San Rafael,122,-84.21157,9.97316
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Alajuela,San Rafael,Cantonal,-84.20389,9.98475
2014,Solo heridos leves,Atropello a persona,Alajuela,Alajuela,San Isidro,718,-84.21698,10.05024
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Alajuela,Guácima,124,-84.25022,9.96409
2014,Solo heridos leves,Atropello a persona,Alajuela,Alajuela,San Rafael,Cantonal,-84.21931,9.97553
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Alajuela,Turrúcares,721,-84.31938,9.96080
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Alajuela,Garita,3,-84.27715,10.01182
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Alajuela,Alajuela,153,-84.21356,10.01039
2014,Con muertos o graves,Atropello a persona,Alajuela,Alajuela,San Antonio,Cantonal,-84.24460,9.98722
2014,Solo heridos leves,Otros,Alajuela,Alajuela,San Antonio,721,-84.26105,9.98030
2014,Solo heridos leves,Vuelco,Alajuela,Alajuela,Guácima,Cantonal,-84.27138,9.96349
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Alajuela,Alajuela,125,-84.20371,10.03101
2014,Solo heridos leves,Colisión entre vehículos,Alajuela,Alajuela,Río Segundo,3,-84.20533,10.00548
2014,Solo heridos leves,Colisión entre vehículos,Alajuela,Alajuela,San Isidro,130,-84.21374,10.03248
2014,Solo heridos leves,Atropello a persona,Alajuela,Alajuela,San Rafael,Cantonal,-84.20069,9.97572
2014,Con muertos o graves,Atropello a persona,Alajuela,Alajuela,Alajuela,3,-84.21916,10.01728
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Alajuela,Río Segundo,3,-84.17634,10.00684
2014,Solo heridos leves,Atropello a persona,Heredia,Santa Bárbara,San Juan,119,-84.16894,10.01346
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Alajuela,San Rafael,Cantonal,-84.20394,9.96583
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Alajuela,Guácima,Cantonal,-84.24181,9.97340
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Alajuela,Alajuela,Cantonal,-84.21650,10.02077
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Alajuela,Alajuela,Cantonal,-84.21391,10.01156
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Alajuela,San Rafael,122,-84.19915,9.97841
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Alajuela,San José,Cantonal,-84.26886,9.99714
2014,Solo heridos leves,Salió de la vía,Alajuela,Alajuela,San Isidro,130,-84.19802,10.05784
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Alajuela,San Rafael,122,-84.22002,9.96987
2014,Solo heridos leves,Atropello animal,Alajuela,Alajuela,San Isidro,719,-84.22341,10.03689
2014,Solo heridos leves,Colisión entre vehículos,Alajuela,Alajuela,Río Segundo,3,-84.18995,10.00206
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Alajuela,Río Segundo,3,-84.20649,10.00685
2014,Solo heridos leves,Colisión con bicicleta,Alajuela,Alajuela,San Rafael,Cantonal,-84.22676,9.96825
2014,Solo heridos leves,Vuelco,Alajuela,Alajuela,San Rafael,147,-84.19955,9.97720
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Alajuela,San Rafael,122,-84.20469,9.97737
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Alajuela,Alajuela,Cantonal,-84.21068,10.00859
2014,Solo heridos leves,Atropello a persona,Alajuela,Alajuela,San Rafael,122,-84.21069,9.97347
2014,Solo heridos leves,Atropello a persona,Alajuela,Alajuela,Alajuela,3,-84.20881,10.00950
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Alajuela,Alajuela,3,-84.20927,10.01285
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Alajuela,Alajuela,Cantonal,-84.21697,10.01790
2014,Solo heridos leves,Atropello a persona,Alajuela,Alajuela,San Antonio,1,-84.23065,9.99557
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Alajuela,San José,Cantonal,-84.26878,9.99717
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Alajuela,Alajuela,Cantonal,-84.21800,10.01676
2014,Solo heridos leves,Atropello a persona,Alajuela,Alajuela,San Rafael,122,-84.22344,9.97496
2014,Solo heridos leves,Colisión entre vehículos,Alajuela,Alajuela,San José,Cantonal,-84.25490,10.00215
2014,Solo heridos leves,Colisión entre vehículos,Alajuela,Alajuela,Alajuela,124,-84.21866,10.01567
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Alajuela,Alajuela,153,-84.21298,10.01185
2014,Solo heridos leves,Otros,Alajuela,Alajuela,Alajuela,Cantonal,-84.21641,10.01449
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Alajuela,San Antonio,124,-84.23623,9.99167
2014,Solo heridos leves,Colisión con bicicleta,Alajuela,Alajuela,San José,Cantonal,-84.25969,10.00266
2014,Solo heridos leves,Vuelco,Alajuela,Alajuela,San Rafael,122,-84.19718,9.97885
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Alajuela,San Rafael,122,-84.20141,9.97794
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Alajuela,Garita,3,-84.27520,10.01134
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Alajuela,Río Segundo,3,-84.18746,10.00282
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Alajuela,Alajuela,Cantonal,-84.20690,10.02063
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Alajuela,San José,118,-84.24299,10.01508
2014,Solo heridos leves,Colisión con objeto fijo,Alajuela,Alajuela,Guácima,Cantonal,-84.25717,9.96095
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Alajuela,San Rafael,122,-84.19915,9.97841
2014,Solo heridos leves,Colisión entre vehículos,Alajuela,Alajuela,San José,Cantonal,-84.26874,9.99103
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Alajuela,Guácima,124,-84.23498,9.96943
2014,Solo heridos leves,Colisión con motocicleta,Alajuela,Alajuela,Alajuela,153,-84.21295,10.01170
2014,Solo heridos leves,Colisión con objeto fijo,Cartago,El Guarco,El Tejar,228,-83.94030,9.84333
2014,Con muertos o graves,Atropello a persona,Cartago,Alvarado,Cervantes,10,-83.81079,9.88465
2014,Solo heridos leves,Colisión con objeto fijo,Cartago,Cartago,Occidental,Cantonal,-83.92320,9.86230
2014,Solo heridos leves,Colisión con motocicleta,Cartago,Oreamuno,Potrero Cerrado,401,-83.88828,9.91332
2014,Solo heridos leves,Atropello a persona,Cartago,Cartago,Oriental,10,-83.92105,9.86500
2014,Solo heridos leves,Atropello a persona,Cartago,Cartago,Occidental,Cantonal,-83.92535,9.85799
2014,Solo heridos leves,Colisión con motocicleta,Cartago,Paraíso,Llanos de Santa Lucía,10,-83.87948,9.84209
2014,Solo heridos leves,Atropello a persona,Cartago,Cartago,Oriental,Cantonal,-83.91776,9.86305
2014,Solo heridos leves,Colisión entre vehículos,Cartago,Cartago,Oriental,231,-83.91691,9.86166
2014,Con muertos o graves,Colisión con motocicleta,Cartago,Oreamuno,San Rafael,10,-83.90566,9.85877
2014,Solo heridos leves,Colisión entre vehículos,Cartago,Cartago,Oriental,Cantonal,-83.92050,9.86215
2014,Solo heridos leves,Colisión con objeto fijo,Cartago,Oreamuno,Cot,230,-83.87460,9.88677
2014,Solo heridos leves,Colisión entre vehículos,Cartago,Oreamuno,San Rafael,233,-83.90399,9.87686
2014,Solo heridos leves,Colisión con motocicleta,Cartago,Cartago,Occidental,228,-83.92705,9.86287
2014,Solo heridos leves,Colisión entre vehículos,Cartago,Cartago,Guadalupe o Arenilla,228,-83.93020,9.86154
2014,Solo heridos leves,Colisión entre vehículos,Cartago,Cartago,Occidental,Cantonal,-83.92927,9.86675
2014,Solo heridos leves,Colisión con motocicleta,Cartago,Cartago,Occidental,Cantonal,-83.92823,9.86662
2014,Solo heridos leves,Colisión entre vehículos,Cartago,Cartago,Oriental,Cantonal,-83.91827,9.85921
2014,Solo heridos leves,Salió de la vía,Cartago,La Unión,San Rafael,2,-83.97149,9.90607
2014,Con muertos o graves,Salió de la vía,Cartago,Cartago,Corralillo,Cantonal,-84.03356,9.79718
2014,Solo heridos leves,Salió de la vía,Cartago,Paraíso,Paraíso,224,-83.86170,9.81475
2014,Solo heridos leves,Caída de algún ocupante,Cartago,Cartago,Occidental,Cantonal,-83.92367,9.86259
